Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Sony PlayStation 2","Games","Wishlist","Makai Kingdom: Chronicles of the Sacred Tome","United States of America","Official","Nippon Ichi Software Inc.","NIS","RPG, Strategy","Aug 3, 2025","CIB","8.86","16.73","28.09","16.73","?",?,?,?,"","","77",
"Sony PlayStation 2","Games","Wishlist","Monster Hunter 2","Japan","Official","Capcom","Capcom","Action, RPG","Feb 14, 2026","CIB","18.82","21.3","50.5","21.3","?",?,?,?,"","","Missing Field",
"Sony PlayStation 2","Games","Wishlist","Silent Hill 4: The Room","United States of America","Official","Konami","Konami Computer Entertainment Japan","Action, Adventure, Horror","Feb 18, 2026","CIB","120.47","197.79","399.5","197.79","-1.0",?,?,?,"","","76",
"Sony PlayStation 2","Games","Wishlist","Silent Hill 4: The Room","Japan","Official","Konami","Team Silent","Horror","Feb 18, 2026","CIB","50.85","54.78","103.18","54.78","-1.0",?,?,?,"","","76",
"Sony PlayStation 2","Games","Wishlist","Stretch Panic","United States of America","Official","Conspiracy Entertainment Corporation","Treasure C. Ltd.","Action, Platformer","Aug 3, 2025","CIB","25.49","46.38","65.5","46.38","?",?,?,?,"","","65",
"Sony PlayStation 5","Games","Wishlist","Disgaea 6 Complete [Deluxe Edition]","United States of America","Official","NIS America, Inc.","Nippon Ichi Software Inc.","RPG, Strategy","Aug 3, 2025","CIB","20.01","24.3","29.88","24.3","?",?,?,?,"","","68",
"Sony PlayStation 5","Games","Wishlist","Disgaea 7: Vows of the Virtueless [Deluxe Edition]","United States of America","Official","NIS America","Nippon Ichi Software Inc.","RPG, Strategy","Aug 3, 2025","CIB","35.47","35.5","54.36","35.5","?",?,?,?,"","","84",
"Nintendo Game Boy Advance","Games","Wishlist","Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005","United States of America","Official","Konami","Konami","Action, Strategy","Aug 3, 2025","Loose","14.92","60.37","156.55","14.92","?",?,?,?,"","","66",
"Nintendo Game Boy Advance","Games","Wishlist","Yu-Gi-Oh! GX: Duel Academy","United States of America","Official","Konami","Konami","Action, RPG, Strategy","Aug 3, 2025","Loose","32.74","81.88","152.99","32.74","?",?,?,?,"","","67",
"Nintendo Game Boy Advance","Games","Wishlist","Yu-Gi-Oh! The Eternal Duelist Soul","United States of America","Official","Konami","Konami","RPG","Aug 3, 2025","Loose","10.36","45","310.49","10.36","?",?,?,?,"","","81",
"Nintendo Game Boy Advance","Games","Wishlist","Yu-Gi-Oh! World Championship Tournament 2004","United States of America","Official","Konami","Konami Computer Entertainment Japan","Strategy","Aug 3, 2025","Loose","10.64","31.49","300.49","10.64","?",?,?,?,"","","68",
"Nintendo Game Boy Advance","Games","Wishlist","Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel","United States of America","Official","Konami","Konami","Strategy","Aug 3, 2025","Loose","10.49","47.88","350.5","10.49","?",?,?,?,"","","72",
